,siteModel_buildings_polygon_exteriorRing_edges_id,siteModel_buildings_polygon_exteriorRing_edges_bearingVector,siteModel_buildings_polygon_exteriorRing_edges_angleBetweenBearingVectorAndUpVector,siteModel_buildings_polygon_exteriorRing_edges_angleBetweenBearingVectorAndRightVector,siteModel_buildings_polygon_exteriorRing_edges_edgeCondition,siteModel_buildings_polygon_exteriorRing_edges_sidingMaterial,siteModel_buildings_polygon_exteriorRing_edges_startPoint.x,siteModel_buildings_polygon_exteriorRing_edges_startPoint.y,siteModel_buildings_polygon_exteriorRing_edges_startPoint.z,siteModel_buildings_polygon_exteriorRing_edges_endPoint.x,siteModel_buildings_polygon_exteriorRing_edges_endPoint.y,siteModel_buildings_polygon_exteriorRing_edges_endPoint.z,id,installationId
0,0,,0.0,0.0,None,,-525.1692913385892,-256.83070866089145,0.0,-525.1692913385891,-256.83070866089145,0.0,10,10
1,0,,0.0,0.0,None,,-525.1692913385891,-256.83070866089145,0.0,-525.8661417322835,-200.50393700787404,0.0,10,10
2,0,,0.0,0.0,None,,-525.8661417322835,-200.50393700787404,0.0,-509.80709632117595,-200.30630459247715,0.0,10,10
3,0,,0.0,0.0,None,,-509.80709632117595,-200.30630459247715,0.0,-513.5157480314961,98.47244094488188,0.0,10,10
4,0,,0.0,0.0,None,,-513.5157480314961,98.47244094488188,0.0,-503.1062921871769,98.60179559120412,0.0,10,10
5,0,,0.0,0.0,None,,-503.1062921871769,98.60179559120412,0.0,-505.5039369708411,291.97637496598145,0.0,10,10
6,0,,0.0,0.0,None,,-505.5039369708411,291.97637496598145,0.0,-508.3937007874016,524.9291338582677,0.0,10,10
7,0,,0.0,0.0,None,,-508.3937007874016,524.9291338582677,0.0,448.2755905511811,536.7992125984252,0.0,10,10
8,0,,0.0,0.0,None,,448.2755905511811,536.7992125984252,0.0,451.1653542392615,303.846464064754,0.0,10,10
9,0,,0.0,0.0,None,,451.1653542392615,303.846464064754,0.0,453.8818897637795,85.11811023622047,0.0,10,10
10,0,,0.0,0.0,None,,453.8818897637795,85.11811023622047,0.0,291.72535269527856,83.1062620695173,0.0,10,10
11,0,,0.0,0.0,None,,291.72535269527856,83.1062620695173,0.0,293.96851544711427,-97.43006022541556,0.0,10,10
12,0,,0.0,0.0,None,,293.96851544711427,-97.43006022541556,0.0,409.0984251968504,-95.33464566929136,0.0,10,10
13,0,,0.0,0.0,None,,409.0984251968504,-95.33464566929136,0.0,412.5629919917695,-285.6653469574352,0.0,10,10
14,0,,0.0,0.0,None,,412.5629919917695,-285.6653469574352,0.0,415.9133858267717,-469.5748031496063,0.0,10,10
15,0,,0.0,0.0,None,,415.9133858267717,-469.5748031496063,0.0,125.85039370078742,-474.8543307086614,0.0,10,10
16,0,,0.0,0.0,None,,125.85039370078742,-474.8543307086614,0.0,122.82882570753377,-308.8031729429378,0.0,10,10
17,0,,0.0,0.0,None,,122.82882570753377,-308.8031729429378,0.0,-52.51968503937008,-310.9763779527559,0.0,10,10
